Id,Цена,Год,Модель,Двигатель,Мощность,Трансмиссия,Привод,Пробег,Руль
0,380000,2011,Лада 4x4 Бронто,"бензин, 1.7 л",81,механика,4WD,41000,левый
1,765000,2008,Mitsubishi Lancer,"бензин, 2.0 л",241,автомат,4WD,189000,левый
2,805000,2013,Hyundai ix35,"бензин, 2.0 л, ГБО",150,автомат,4WD,71000,левый
3,345000,2008,Hyundai Getz,"бензин, 1.4 л",95,автомат,передний,138000,левый
4,325000,2007,Opel Astra,"бензин, 1.8 л",140,механика,передний,,левый
5,465000,2013,Great Wall Hover H3,"бензин, 2.0 л, ГБО",116,механика,4WD,180000,левый
6,333000,2006,Toyota Vitz,"бензин, 1.0 л",71,автомат,передний,126000,правый
7,535000,2006,Nissan X-Trail,"бензин, 2.0 л",140,автомат,4WD,155000,левый
8,353000,2009,Kia Rio,"бензин, 1.4 л",97,автомат,передний,101000,левый
9,595000,2011,Kia Sportage,"бензин, 2.0 л",150,механика,4WD,127000,левый
10,756000,2019,Ravon R4,"бензин, 1.5 л",106,автомат,передний,,левый
11,646000,2019,Ravon R2,"бензин, 1.2 л",86,автомат,передний,,левый
12,360000,2013,Chevrolet Aveo,"бензин, 1.6 л",116,механика,передний,152000,левый
13,500000,2009,Toyota Corolla,"бензин, 1.6 л",124,механика,передний,180000,левый
14,1130000,2012,Mazda CX-5,"бензин, 2.0 л",150,автомат,4WD,80000,левый
15,880000,2012,Mercedes-Benz C-Class,"бензин, 1.8 л",156,автомат,задний,137000,левый
16,944800,2019,Volkswagen Polo,"бензин, 1.6 л",110,автомат,передний,,левый
17,3920000,2018,Audi Q7,"дизель, 3.0 л",249,автомат,4WD,23000,левый
18,345000,1999,Chevrolet Venture,"бензин, 3.4 л",186,автомат,передний,,
19,450000,2008,Mercedes-Benz A-Class,"бензин, 1.7 л",116,автомат,передний,164000,левый
20,679000,2007,Toyota RAV4,"бензин, 2.0 л",152,автомат,4WD,130000,левый
21,365000,2011,Skoda Fabia,"бензин, 1.2 л",69,механика,передний,69700,левый
22,430000,2007,Toyota Corolla,"бензин, 1.6 л",124,автомат,передний,138000,левый
23,245000,2010,Лада Приора,"бензин, 1.6 л",98,механика,передний,60000,левый
24,480000,2011,Hyundai Solaris,"бензин, 1.4 л",107,автомат,передний,59000,левый
25,345000,2016,Nissan Almera,"бензин, 1.6 л",102,механика,передний,78000,левый
26,900000,2019,Hyundai Solaris,"бензин, 1.6 л",123,автомат,передний,19000,левый
27,299000,2014,Лада Калина,"бензин, 1.6 л",106,механика,передний,68076,
28,855000,2012,Nissan X-Trail,"бензин, 2.0 л",141,автомат,4WD,107000,левый
29,315000,2003,Porsche Cayenne,"бензин, 4.5 л",340,автомат,4WD,250000,левый
30,2240000,2014,Toyota Highlander,"бензин, 3.5 л",249,автомат,4WD,78000,левый
31,1299999,2016,Nissan X-Trail,"бензин, 2.5 л",171,автомат,4WD,50000,левый
32,895000,2010,Toyota RAV4,"бензин, 2.0 л",152,механика,4WD,96000,левый
33,1230000,2006,Toyota Land Cruiser Prado,"бензин, 4.0 л",249,автомат,4WD,192000,левый
